dataset,series_id,regime,rho_interval_abs_train,relative_gain,delta_rmse,rmse_point,rmse_hurdle,ADI_selection,CV2_selection,zero_ratio_train,n_positive_train,n_positive_test
m5,FOODS_1_005_CA_2_evaluation,lumpy,0.0042329465540569,0.0029180613505561293,0.0129750098549354,4.446448616463324,4.433473606608389,1.6764436296975251,0.7187967708058041,0.4034991798797157,1091,70
m5,FOODS_1_005_WI_2_evaluation,lumpy,0.0114242182913012,-0.06286183559741604,-0.106777648035556,1.6986084962486387,1.8053861442841947,2.4749661705006765,0.5652128710477529,0.5959540732640787,739,69
m5,FOODS_1_012_CA_1_evaluation,intermittent,0.0017709939965365,0.009030116920183004,0.020591306692562,2.2802923677033298,2.259701061010768,1.5305439330543933,0.35646773033635065,0.2744383727990285,1195,75
m5,FOODS_1_012_TX_3_evaluation,smooth,0.0056280265485922,-0.0810478270615161,-0.2718325203261216,3.353976660223081,3.6258091805492025,1.2250502344273275,0.32170979522632903,0.1409666283084004,1493,84
m5,FOODS_1_017_CA_1_evaluation,lumpy,0.0120992413210164,-0.01543282435499656,-0.0176161525122429,1.141473012782619,1.1590891652948618,4.214285714285714,1.025176112414338,0.6950105411103303,434,52
m5,FOODS_1_017_TX_1_evaluation,lumpy,0.0098885765697503,-0.05065201830820052,-0.0448150625245497,0.8847636090602569,0.9295786715848066,5.411242603550296,0.6718427513235331,0.7624736472241743,338,28
m5,FOODS_1_018_CA_2_evaluation,erratic,0.0250554071139307,0.011164333426829431,0.0825104846035653,7.39054285187159,7.308032367268025,1.0998196031268792,0.6640438470308236,0.0907599781301257,1663,84
m5,FOODS_1_018_CA_4_evaluation,erratic,0.1465769890116982,-0.02132964074508417,-0.1031456778943793,4.835790678666317,4.9389363565606965,1.080330773774365,0.5227840424567713,0.0743575724439584,1693,82
m5,FOODS_1_018_TX_1_evaluation,erratic,0.063499971807568,-0.061317634925953005,-0.2664341977094082,4.345147982813645,4.611582180523054,1.2999289267945984,0.7953269512574204,0.2307271733187534,1407,84
m5,FOODS_1_018_TX_3_evaluation,erratic,0.1590561869082364,0.02663471351605596,0.1532886105395583,5.755219047021202,5.601930436481644,1.2799160251924422,0.7335631018132523,0.2186987424822307,1429,84
m5,FOODS_1_018_WI_1_evaluation,erratic,0.0408970009982025,-0.048754028522235045,-0.2941961422540968,6.034294009569363,6.32849015182346,1.040386803185438,0.5002747850759744,0.0388190267905959,1758,84
m5,FOODS_1_018_WI_3_evaluation,erratic,0.0135184316311268,-0.011572617775165323,-0.0781373299540328,6.751914862488108,6.830052192442141,1.0646100116414436,0.6152323949657135,0.060688901038819,1718,84
m5,FOODS_1_021_CA_2_evaluation,lumpy,0.2046183898423356,-0.006164912179094302,-0.0168504278167223,2.7332794575506547,2.750129885367377,2.080773606370876,0.7678638547631791,0.1861111111111111,879,66
m5,FOODS_1_024_WI_1_evaluation,lumpy,0.0101690965643711,-0.004211596288698955,-0.0054992497553718,1.3057400041233835,1.3112392538787554,1.4596967278531525,0.5343274517783556,0.3149261891744122,1253,61
m5,FOODS_1_029_WI_3_evaluation,intermittent,0.0431197030360196,0.07288908134748497,0.0384108163164459,0.526976271429867,0.4885654551134211,6.749077490774908,0.2582753533738259,0.8465458663646659,271,14
m5,FOODS_1_030_CA_1_evaluation,lumpy,0.0288766996221696,-0.01751369538349279,-0.0175209721855038,1.0004154920964234,1.0179364642819273,3.5514563106796118,0.5765423531144088,0.7173435784851812,515,40
m5,FOODS_1_033_CA_3_evaluation,lumpy,0.0509688470679615,0.1086559194330765,0.0609008729728212,0.5604929146113512,0.49959204163853,10.758823529411766,0.4955005572351288,0.8716981132075472,170,16
m5,FOODS_1_033_TX_3_evaluation,lumpy,0.1350776232591402,0.07186824036479011,0.0521155527018376,0.7251541492780195,0.6730385965761818,7.717299578059071,1.1231314458221644,0.8220720720720721,237,4
m5,FOODS_1_035_WI_3_evaluation,lumpy,0.0026574121385934,0.057122147233624083,0.0446078027920889,0.7809195723971525,0.7363117696050635,8.751196172248804,0.7256343878015475,0.8825842696629214,209,19
m5,FOODS_1_036_CA_2_evaluation,lumpy,0.024371477598655,-0.0029621632497619905,-0.0052919448090742,1.7865135587984244,1.791805503607499,1.8855670103092783,0.5235880802914817,0.4507361268403171,970,52
m5,FOODS_1_037_TX_2_evaluation,lumpy,0.0039358163697824,-0.016826713020034578,-0.0148416433213018,0.8820286709371418,0.8968703142584437,4.750649350649351,0.8538524574195266,0.7802511415525114,385,36
m5,FOODS_1_038_CA_4_evaluation,intermittent,0.0106462547495545,0.08791389701007025,0.0508253230906678,0.5781261531933446,0.5273008301026767,5.576219512195122,0.18144381899950693,0.8127853881278538,328,21
m5,FOODS_1_043_CA_1_evaluation,smooth,0.0188550112525819,-0.024267062882662043,-0.113906416600737,4.693869099507674,4.807775516108412,1.3027065527065527,0.47325036007238713,0.0596115204286671,1404,27
m5,FOODS_1_043_CA_2_evaluation,lumpy,0.2159059443282718,-0.016380897481610333,-0.1369637070109153,8.361184554428393,8.498148261439308,1.3940548780487805,0.6233472519440811,0.117092866756393,1312,27
m5,FOODS_1_043_WI_2_evaluation,erratic,0.0017280058206512,-0.0028959910925526423,-0.0329336840434386,11.372163446265828,11.405097130309269,1.3196248196248197,0.5547400678655123,0.0672947510094212,1386,22
m5,FOODS_1_045_CA_1_evaluation,intermittent,0.0080232422562804,0.008128195809959991,0.0205976334693454,2.534096612695504,2.513498979226158,1.4015325670498084,0.45033849622857863,0.2864953526517222,1305,52
m5,FOODS_1_046_CA_1_evaluation,erratic,0.1708310728161683,-0.034760434682531774,-0.1765717932356905,5.079677364461252,5.256249157696942,1.0765155974102414,0.5488283180662628,0.0710770913067249,1699,83
m5,FOODS_1_046_CA_2_evaluation,erratic,0.2058955353678614,-0.013223358409457913,-0.0868404031409406,6.567197261992734,6.654037665133675,1.1822882999353588,0.8070616643420047,0.1541826134499726,1547,84
m5,FOODS_1_046_TX_2_evaluation,erratic,0.0987550933679986,0.057316763116630275,0.2933064362473985,5.117288909887805,4.823982473640407,1.0315848843767625,0.7280149321219593,0.0306178239475123,1773,83
m5,FOODS_1_046_TX_3_evaluation,erratic,0.1668763520179584,-0.010182734744025658,-0.0491230255716121,4.824148601183313,4.873271626754925,1.1510383889238516,0.824490341484315,0.1312192454893384,1589,82
m5,FOODS_1_046_WI_1_evaluation,erratic,0.0012382805589951,-0.017215502583666324,-0.1349445423282791,7.838547940872281,7.97349248320056,1.0499425947187142,0.776432666803143,0.0475669764898851,1742,82
m5,FOODS_1_046_WI_2_evaluation,erratic,0.0237953233414074,-0.003264934562064464,-0.0117240586112949,3.590901559718126,3.602625618329421,1.0777843252799058,0.6061672678015227,0.0721705850191361,1697,72
m5,FOODS_1_046_WI_3_evaluation,erratic,0.0858356936189171,0.06417909414512901,0.1909276013549652,2.974918918662488,2.783991317307523,1.2001312335958005,0.9510766757412511,0.1667577911427009,1524,73
m5,FOODS_1_049_CA_2_evaluation,lumpy,0.0005224363852739,-0.014140254963528338,-0.0358823763860658,2.5376046244297896,2.5734870008158555,1.866326530612245,0.5998824899097206,0.4641880809185347,980,34
m5,FOODS_1_052_CA_3_evaluation,intermittent,0.0041587536048392,-0.006289582308035983,-0.0110011504782401,1.749106687765944,1.7601078382441842,3.073949579831933,0.44586327113569113,0.3983822042467138,595,37
m5,FOODS_1_053_TX_2_evaluation,intermittent,0.0175478093358447,0.06903203162775799,0.0436849472333928,0.6328214048364607,0.5891364576030678,5.662538699690402,0.36584885798263406,0.8234007654455987,323,11
m5,FOODS_1_054_TX_2_evaluation,lumpy,0.0034339112812429,0.04548646188662054,0.0525106618611699,1.1544239688735929,1.101913307012423,1.931362196409715,0.663314220083481,0.4822307271733188,947,36
m5,FOODS_1_055_CA_4_evaluation,lumpy,0.0061878541311767,0.0030457046545979962,0.0054536683981556,1.7906097329307302,1.7851560645325746,2.1267441860465115,1.1101024462527425,0.5297977036632039,860,41
m5,FOODS_1_058_TX_2_evaluation,lumpy,0.0583812339760496,0.008710890030802592,0.0186820478498774,2.144677269924862,2.125995222074985,1.5395622895622896,0.8837620893007583,0.208,1188,21
m5,FOODS_1_059_WI_1_evaluation,lumpy,0.0177927023840051,-0.008712435360224473,-0.0161623006464386,1.855084138727221,1.87124643937366,4.375598086124402,0.5554240623618854,0.5586061246040127,418,49
