n_train,n_positive_train,zero_ratio_train,ADI_train,CV2_positive_train,rho_interval_train,rho_magnitude_train,occurrence_binary_acf1_train,previous_gap_next_size_corr_train,rho_interval_abs_train,series_id,train_scale,group
1402,617,0.5599144079885877,2.272285251215559,0.4807882312345054,-0.005035838757433155,0.012679144352807736,0.1398120431316776,-0.005421883875509872,0.005035838757433155,HOBBIES_1_006_CA_1_evaluation,1.0,control_pool
1829,867,0.5259704756697648,2.1095732410611303,0.7898533898189253,-0.004472611336267231,-0.050347945140747,0.12564762584193248,-0.032603694864824596,0.004472611336267231,HOBBIES_1_009_CA_1_evaluation,1.2219793,control_pool
1829,883,0.5172225259704757,2.0713476783691958,0.2680379058336063,0.00048397113606064304,0.010256399378039998,0.0919195569705234,0.03858123568864743,0.00048397113606064304,HOBBIES_1_010_CA_1_evaluation,1.0,control_pool
1619,907,0.4397776405188388,1.785005512679162,0.4654802578494751,0.004698534295981989,0.011391710768025816,0.1458135183244754,-0.0371727999302911,0.004698534295981989,HOBBIES_1_017_CA_1_evaluation,1.043193,control_pool
1304,868,0.3343558282208589,1.5023041474654377,0.7396541206643396,-0.0032494128618534403,0.023681580154483562,0.5030668997298574,-0.03736419265640528,0.0032494128618534403,HOBBIES_1_019_CA_1_evaluation,4.661564,control_pool
1318,329,0.7503793626707133,4.006079027355623,0.25290189741823765,-2.918485736008404e-05,-0.06687965094300378,-0.021018175553449824,-0.02645157258957967,2.918485736008404e-05,HOBBIES_1_024_CA_1_evaluation,1.0,control_pool
1829,1172,0.35921268452706395,1.560580204778157,1.157287529755775,-0.0070313559367999445,0.02196711730564131,0.4188641478735165,0.00023264129933385497,0.0070313559367999445,HOBBIES_1_032_CA_1_evaluation,5.6446147,control_pool
1423,840,0.4096978215038651,1.694047619047619,0.28658223721411175,0.005708524103265901,-0.018709701361105658,0.09709034022765446,-0.006374937413411327,0.005708524103265901,HOBBIES_1_037_CA_1_evaluation,1.0,control_pool
1416,326,0.769774011299435,4.343558282208589,0.19923735218208538,0.004290744843248403,-0.034693877551020436,0.23191660006582338,0.056349630646641044,0.004290744843248403,HOBBIES_1_077_CA_1_evaluation,1.0,control_pool
1234,267,0.7836304700162074,4.621722846441948,0.13244868684496944,0.0028220663480878917,0.19910445456651002,0.11560471770535291,0.029561371305923914,0.0028220663480878917,HOBBIES_1_083_CA_1_evaluation,1.0,control_pool
1829,471,0.7424822307271733,3.8832271762208066,0.41340245213137694,0.0025168335192742464,-0.08370460942084085,0.07412831057620864,-0.05658933229299768,0.0025168335192742464,HOBBIES_1_088_CA_1_evaluation,1.0,control_pool
1829,796,0.5647895024603609,2.2977386934673367,0.21103879492711325,0.005585923909491439,0.033786210104518016,0.025330139067430354,-0.01613824507398668,0.005585923909491439,HOBBIES_1_097_CA_1_evaluation,1.0,control_pool
1829,571,0.6878075451066157,3.2031523642732047,0.2236139363620227,-0.0027310024165166204,0.04815097097909706,0.2776206456064248,0.033657022028966546,0.0027310024165166204,HOBBIES_1_098_CA_1_evaluation,1.0,control_pool
1829,794,0.565882996172772,2.3035264483627205,0.33132379752681956,-0.0013457927593120424,0.1602142604602951,0.5746014340454815,-0.046757435094150576,0.0013457927593120424,HOBBIES_1_099_CA_1_evaluation,1.0,control_pool
674,152,0.7744807121661721,4.434210526315789,0.08401291186144523,-0.002374437491278912,-0.009189640768588123,-0.016048818857679267,0.029719627561187387,0.002374437491278912,HOBBIES_1_104_CA_1_evaluation,1.0,control_pool
1829,340,0.8141060688901038,5.379411764705883,0.3511808556882161,-0.0069107993426861655,-0.07430070053804985,0.1743107270425598,-0.03276914524777974,0.0069107993426861655,HOBBIES_1_106_CA_1_evaluation,1.0,control_pool
1829,1079,0.4100601421541826,1.6950880444856349,0.42070281731567116,-0.004184883854796265,0.07185124831468184,0.15439455782312897,0.0054169052722002065,0.004184883854796265,HOBBIES_1_108_CA_1_evaluation,1.09076,control_pool
1297,742,0.4279105628373169,1.747978436657682,0.26644356638451866,0.0028250267546191814,0.020967632906647216,0.024442950665023465,0.05717432867685005,0.0028250267546191814,HOBBIES_1_129_CA_1_evaluation,1.0,control_pool
1829,923,0.4953526517222526,1.981581798483207,0.3591532709356912,0.0039181602797522495,0.14060975027782294,0.3795966473066006,0.050372564575853665,0.0039181602797522495,HOBBIES_1_132_CA_1_evaluation,1.0060142,control_pool
