track,train,test,ablation,n_test,spearman,pred_sd,degenerate,selector_loss,global_loss,oracle_loss,rel_improve_pct,oracle_gap_capture_pct
T1_strict_train_only,m5,favorita,A0,16215,,3.725290298461914e-09,True,2.4096882,2.4096882,2.3329961,0.0,0.0
T1_strict_train_only,m5,favorita,A1,16215,0.09511306349483348,0.15340508162873565,False,2.4173114,2.4096882,2.3329961,-0.3163561,-9.940001
T1_strict_train_only,m5,favorita,A1_C0,16215,,3.469446951953614e-18,True,2.4096882,2.4096882,2.3329961,0.0,0.0
T1_strict_train_only,m5,favorita,A1_C1,16215,,3.4802354246651115e-18,True,2.4096882,2.4096882,2.3329961,0.0,0.0
T1_strict_train_only,m5,favorita,A2,16215,0.01138571198148382,0.0013298862615959421,False,2.4096882,2.4096882,2.3329961,0.0,0.0
T1_strict_train_only,m5,favorita,A2_C0,16215,0.01138571198148382,0.0009459565353772683,False,2.4096882,2.4096882,2.3329961,0.0,0.0
T1_strict_train_only,m5,favorita,A2_C1,16215,,3.469446951953614e-18,True,2.4096882,2.4096882,2.3329961,0.0,0.0
T1_strict_train_only,m5,favorita,A3,16215,0.15766602047109093,0.041666927917638145,False,2.4126918,2.4096882,2.3329961,-0.124646716,-3.9164362
T1_strict_train_only,m5,favorita,A3_C0,16215,,3.469446951953614e-18,True,2.4096882,2.4096882,2.3329961,0.0,0.0
T1_strict_train_only,m5,favorita,A3_C1,16215,,3.469446951953614e-18,True,2.4096882,2.4096882,2.3329961,0.0,0.0
T1_strict_train_only,favorita,m5,A0,17079,,0.0,True,1.6407361,1.6407361,1.5947236,0.0,0.0
T1_strict_train_only,favorita,m5,A1,17079,0.2856887027531979,0.03109026773918848,False,1.6407361,1.6407361,1.5947236,0.0,0.0
T1_strict_train_only,favorita,m5,A1_C0,17079,,0.0,True,1.6407361,1.6407361,1.5947236,0.0,0.0
T1_strict_train_only,favorita,m5,A1_C1,17079,,0.0,True,1.6407361,1.6407361,1.5947236,0.0,0.0
T1_strict_train_only,favorita,m5,A2,17079,,0.0,True,1.6407361,1.6407361,1.5947236,0.0,0.0
T1_strict_train_only,favorita,m5,A2_C0,17079,,0.0,True,1.6407361,1.6407361,1.5947236,0.0,0.0
T1_strict_train_only,favorita,m5,A2_C1,17079,,0.0,True,1.6407361,1.6407361,1.5947236,0.0,0.0
T1_strict_train_only,favorita,m5,A3,17079,0.20719967203263495,0.022669943740248305,False,1.6407361,1.6407361,1.5947236,0.0,0.0
T1_strict_train_only,favorita,m5,A3_C0,17079,-0.009679966253316456,0.001158330915119578,False,1.6407361,1.6407361,1.5947236,0.0,0.0
T1_strict_train_only,favorita,m5,A3_C1,17079,,0.0,True,1.6407361,1.6407361,1.5947236,0.0,0.0
T2_origin1_conditioned,m5,favorita,A0,10810,,3.725290298461914e-09,True,2.379291,2.379291,2.3047938,0.0,0.0
T2_origin1_conditioned,m5,favorita,A2,10810,0.008393013863743998,0.0013195223858520305,False,2.379291,2.379291,2.3047938,0.0,0.0
T2_origin1_conditioned,m5,favorita,A2_C0,10810,,6.938893903907228e-18,True,2.379291,2.379291,2.3047938,0.0,0.0
T2_origin1_conditioned,m5,favorita,A2_C1,10810,0.00466595903303176,0.0018049094354917264,False,2.379291,2.379291,2.3047938,0.0,0.0
T2_origin1_conditioned,m5,favorita,A4,10810,0.3333856707666496,0.030111214601093703,False,2.3800292,2.379291,2.3047938,-0.031023692,-0.9908341
T2_origin1_conditioned,m5,favorita,A4_C0,10810,0.17562253981119597,0.0022063657260158512,False,2.379291,2.379291,2.3047938,0.0,0.0
T2_origin1_conditioned,m5,favorita,A4_C1,10810,0.001369651684844048,0.0012887882548034894,False,2.379291,2.379291,2.3047938,0.0,0.0
T2_origin1_conditioned,m5,favorita,A5,10810,0.34239348247765655,0.04337942198944111,False,2.3774402,2.379291,2.3047938,0.0777897,2.4844463
T2_origin1_conditioned,m5,favorita,A5_C0,10810,,6.938893903907228e-18,True,2.379291,2.379291,2.3047938,0.0,0.0
T2_origin1_conditioned,m5,favorita,A5_C1,10810,,6.938893903907228e-18,True,2.379291,2.379291,2.3047938,0.0,0.0
T2_origin1_conditioned,m5,favorita,A6,10810,0.31486209886792527,0.0425913758343734,False,2.3828118,2.379291,2.3047938,-0.14797379,-4.7259846
