track,ablation,macro_spearman,macro_rel_improve,worst_rel_improve,both_dirs_positive
T1_strict_train_only,A0,,0.0,0.0,False
T1_strict_train_only,A1,0.1904008831240157,-0.15817805,-0.3163561,True
T1_strict_train_only,A1_C0,,0.0,0.0,False
T1_strict_train_only,A1_C1,,0.0,0.0,False
T1_strict_train_only,A2,0.01138571198148382,0.0,0.0,False
T1_strict_train_only,A2_C0,0.01138571198148382,0.0,0.0,False
T1_strict_train_only,A2_C1,,0.0,0.0,False
T1_strict_train_only,A3,0.18243284625186296,-0.062323358,-0.124646716,True
T1_strict_train_only,A3_C0,-0.009679966253316456,0.0,0.0,False
T1_strict_train_only,A3_C1,,0.0,0.0,False
T2_origin1_conditioned,A0,,0.0,0.0,False
T2_origin1_conditioned,A2,0.008393013863743998,0.0,0.0,False
T2_origin1_conditioned,A2_C0,,0.0,0.0,False
T2_origin1_conditioned,A2_C1,0.00466595903303176,0.0,0.0,False
T2_origin1_conditioned,A4,0.2177931590803407,-0.030863697,-0.031023692,True
T2_origin1_conditioned,A4_C0,0.17562253981119597,0.0,0.0,False
T2_origin1_conditioned,A4_C1,0.0058025707281524645,0.0,0.0,True
T2_origin1_conditioned,A5,0.24259450666361257,0.105265796,0.0777897,True
T2_origin1_conditioned,A5_C0,,0.0,0.0,False
T2_origin1_conditioned,A5_C1,0.017448419094677182,0.0,0.0,False
T2_origin1_conditioned,A6,0.20782032161434766,-0.07845994,-0.14797379,True
T2_origin1_conditioned,A6_C0,-0.15234099182448002,0.0,0.0,False
T2_origin1_conditioned,A6_C1,,0.0,0.0,False
T2_origin1_conditioned,A7,0.27790380715502766,0.044375964,0.01644376,True
T2_origin1_conditioned,A7_C0,,0.0,0.0,False
T2_origin1_conditioned,A7_C1,,0.0,0.0,False
