track,train,test,ablation,n_test,spearman,pred_sd,selector_loss,global_loss,oracle_loss,rel_improve_pct,oracle_gap_capture_pct
T1_strict_train_only,m5,favorita,A0,16215,,3.725290298461914e-09,2.4096882,2.4096882,2.3329961,0.0,0.0
T1_strict_train_only,m5,favorita,A1,16215,0.0951130634948334,0.1534050816287356,2.4173114,2.4096882,2.3329961,-0.3163561,-9.940001
T1_strict_train_only,m5,favorita,A2,16215,0.0113857119814838,0.0013298862615959,2.4096882,2.4096882,2.3329961,0.0,0.0
T1_strict_train_only,m5,favorita,A3,16215,0.1576660204710909,0.0416669279176381,2.4126918,2.4096882,2.3329961,-0.124646716,-3.9164362
T1_strict_train_only,favorita,m5,A0,17079,,0.0,1.6407361,1.6407361,1.5947236,0.0,0.0
T1_strict_train_only,favorita,m5,A1,17079,0.2856887027531979,0.0310902677391884,1.6407361,1.6407361,1.5947236,0.0,0.0
T1_strict_train_only,favorita,m5,A2,17079,,0.0,1.6407361,1.6407361,1.5947236,0.0,0.0
T1_strict_train_only,favorita,m5,A3,17079,0.2071996720326349,0.0226699437402483,1.6407361,1.6407361,1.5947236,0.0,0.0
T2_origin1_conditioned,m5,favorita,A0,10810,,3.725290298461914e-09,2.379291,2.379291,2.3047938,0.0,0.0
T2_origin1_conditioned,m5,favorita,A2,10810,0.0083930138637439,0.001319522385852,2.379291,2.379291,2.3047938,0.0,0.0
T2_origin1_conditioned,m5,favorita,A4,10810,0.3333856707666496,0.0301112146010937,2.3800292,2.379291,2.3047938,-0.031023692,-0.9908341
T2_origin1_conditioned,m5,favorita,A5,10810,0.3423934824776565,0.0433794219894411,2.3774402,2.379291,2.3047938,0.0777897,2.4844463
T2_origin1_conditioned,m5,favorita,A6,10810,0.3148620988679252,0.0425913758343734,2.3828118,2.379291,2.3047938,-0.14797379,-4.7259846
T2_origin1_conditioned,m5,favorita,A7,10810,0.378850453160136,0.0390239218716968,2.3788998,2.379291,2.3047938,0.01644376,0.5251805
T2_origin1_conditioned,favorita,m5,A0,11386,,7.450580596923828e-09,1.6283501,1.6283501,1.5846475,0.0,0.0
T2_origin1_conditioned,favorita,m5,A2,11386,,1.3877787807814457e-17,1.6283501,1.6283501,1.5846475,0.0,0.0
T2_origin1_conditioned,favorita,m5,A4,11386,0.1022006473940317,0.0950017415827282,1.6288501,1.6283501,1.5846475,-0.030703701,-1.1440138
T2_origin1_conditioned,favorita,m5,A5,11386,0.1427955308495685,0.0709962517429538,1.6261886,1.6283501,1.5846475,0.1327419,4.945936
T2_origin1_conditioned,favorita,m5,A6,11386,0.10077854436077,0.0931246931325858,1.6284958,1.6283501,1.5846475,-0.008946095,-0.3333297
T2_origin1_conditioned,favorita,m5,A7,11386,0.1769571611499193,0.0803766480861025,1.6271727,1.6283501,1.5846475,0.07230817,2.6941876
