train,test,origin,policy,family,loss,global_loss,family_oracle,rel_improve_pct,capture_pct
m5,favorita,1604,P0 always Point,hard,2.530712,2.4704819,2.3893995,-2.4379866,-74.28253
m5,favorita,1632,P0 always Point,hard,2.3679256,2.2912107,2.2143667,-3.3482296,-99.832146
m5,favorita,1660,P0 always Point,hard,2.5560174,2.4673715,2.3952215,-3.5927277,-122.8634
m5,favorita,1604,P1 always Hurdle,hard,2.4704819,2.4704819,2.3893995,0.0,0.0
m5,favorita,1632,P1 always Hurdle,hard,2.2912107,2.2912107,2.2143667,0.0,0.0
m5,favorita,1660,P1 always Hurdle,hard,2.4673715,2.4673715,2.3952215,0.0,0.0
m5,favorita,1604,P2 train-domain global choice,hard,2.4704819,2.4704819,2.3893995,0.0,0.0
m5,favorita,1632,P2 train-domain global choice,hard,2.2912107,2.2912107,2.2143667,0.0,0.0
m5,favorita,1660,P2 train-domain global choice,hard,2.4673715,2.4673715,2.3952215,0.0,0.0
m5,favorita,1604,P3 50:50 average,convex,2.4751043,2.4704819,2.3846729,-0.18710761,-5.386917
m5,favorita,1632,P3 50:50 average,convex,2.302455,2.2912107,2.2093346,-0.49075788,-13.733318
m5,favorita,1660,P3 50:50 average,convex,2.4858313,2.4673715,2.3905282,-0.74815637,-24.022661
m5,favorita,1604,P4 train-domain convex w=0.60,convex,2.4700432,2.4704819,2.3846729,0.017757272,0.51124036
m5,favorita,1632,P4 train-domain convex w=0.60,convex,2.295792,2.2912107,2.2093346,-0.19995767,-5.595595
m5,favorita,1660,P4 train-domain convex w=0.60,convex,2.4779093,2.4673715,2.3905282,-0.42708862,-13.71345
m5,favorita,1604,D1 discounted selector g=0.5,hard,2.4704819,2.4704819,2.3893995,0.0,0.0
m5,favorita,1632,D1 discounted selector g=0.5,hard,2.2836258,2.2912107,2.2143667,0.3310394,9.870403
m5,favorita,1660,D1 discounted selector g=0.5,hard,2.4704459,2.4673715,2.3952215,-0.12460254,-4.2611337
m5,favorita,1604,D1 discounted selector g=0.9,hard,2.4704819,2.4704819,2.3893995,0.0,0.0
m5,favorita,1632,D1 discounted selector g=0.9,hard,2.2836258,2.2912107,2.2143667,0.3310394,9.870403
m5,favorita,1660,D1 discounted selector g=0.9,hard,2.4739966,2.4673715,2.3952215,-0.26851147,-9.182504
m5,favorita,1604,D3 expw eta=2.0 norm=raw,convex,2.4700432,2.4704819,2.3846729,0.017757272,0.51124036
m5,favorita,1632,D3 expw eta=2.0 norm=raw,convex,2.2765427,2.2912107,2.2093346,0.64018506,17.914873
m5,favorita,1660,D3 expw eta=2.0 norm=raw,convex,2.465723,2.4673715,2.3905282,0.06680899,2.1451797
m5,favorita,1604,D3 expw eta=8.0 norm=raw,convex,2.4700432,2.4704819,2.3846729,0.017757272,0.51124036
m5,favorita,1632,D3 expw eta=8.0 norm=raw,convex,2.2722573,2.2912107,2.2093346,0.8272187,23.148804
m5,favorita,1660,D3 expw eta=8.0 norm=raw,convex,2.4609265,2.4673715,2.3905282,0.26120636,8.387113
m5,favorita,1604,D3 expw eta=2.0 norm=per_series_scale,convex,2.4700432,2.4704819,2.3846729,0.017757272,0.51124036
m5,favorita,1632,D3 expw eta=2.0 norm=per_series_scale,convex,2.2811518,2.2912107,2.2093346,0.4390203,12.285499
m5,favorita,1660,D3 expw eta=2.0 norm=per_series_scale,convex,2.4672046,2.4673715,2.3905282,0.006764,0.21718626
m5,favorita,1604,D3 expw eta=8.0 norm=per_series_scale,convex,2.4700432,2.4704819,2.3846729,0.017757272,0.51124036
m5,favorita,1632,D3 expw eta=8.0 norm=per_series_scale,convex,2.2665098,2.2912107,2.2093346,1.0780711,30.16863
