dataset,from_origin,to_origin,from_state,to_state,prob
favorita,1604,1632,hurdle,hurdle,0.6105220228384992
favorita,1604,1632,hurdle,neutral,0.12398042414355628
favorita,1604,1632,hurdle,point,0.26549755301794453
favorita,1604,1632,neutral,hurdle,0.39822134387351776
favorita,1604,1632,neutral,neutral,0.21936758893280633
favorita,1604,1632,neutral,point,0.3824110671936759
favorita,1604,1632,point,hurdle,0.3910355486862442
favorita,1604,1632,point,neutral,0.2117465224111283
favorita,1604,1632,point,point,0.3972179289026275
favorita,1632,1660,hurdle,hurdle,0.5934561865362918
favorita,1632,1660,hurdle,neutral,0.1308762692741632
favorita,1632,1660,hurdle,point,0.2756675441895449
favorita,1632,1660,neutral,hurdle,0.40981856990394877
favorita,1632,1660,neutral,neutral,0.22305229455709713
favorita,1632,1660,neutral,point,0.3671291355389541
favorita,1632,1660,point,hurdle,0.4134881149806523
favorita,1632,1660,point,neutral,0.21227197346600332
favorita,1632,1660,point,point,0.3742399115533444
m5,1857,1885,hurdle,hurdle,0.5142737195633921
m5,1857,1885,hurdle,neutral,0.1767422334172964
m5,1857,1885,hurdle,point,0.3089840470193115
m5,1857,1885,neutral,hurdle,0.3548148148148148
m5,1857,1885,neutral,neutral,0.32
m5,1857,1885,neutral,point,0.3251851851851852
m5,1857,1885,point,hurdle,0.36613972463029065
m5,1857,1885,point,neutral,0.29474757776644567
m5,1857,1885,point,point,0.3391126976032636
m5,1885,1913,hurdle,hurdle,0.4500412881915772
m5,1885,1913,hurdle,neutral,0.19900908340214699
m5,1885,1913,hurdle,point,0.3509496284062758
m5,1885,1913,neutral,hurdle,0.3640810621942697
m5,1885,1913,neutral,neutral,0.296995108315863
m5,1885,1913,neutral,point,0.3389238294898672
m5,1885,1913,point,hurdle,0.3739130434782609
m5,1885,1913,point,neutral,0.2842391304347826
m5,1885,1913,point,point,0.3418478260869565
