series_id,origin,g
1000866_1,1604,0.71390027
1000866_1,1632,0.7344401
1000866_1,1660,0.72049004
1000866_2,1604,0.70642847
1000866_2,1632,0.70538574
1000866_2,1660,0.6602955
1000866_23,1604,0.71098375
1000866_23,1632,0.7154153
1000866_23,1660,0.7213433
1000866_25,1604,0.73075736
1000866_25,1632,0.7439547
1000866_25,1660,0.7283848
1000866_27,1604,0.7346636
1000866_27,1632,0.73343754
1000866_27,1660,0.7438433
1000866_3,1604,0.46503004
1000866_3,1632,0.51546687
1000866_3,1660,0.41140875
1000866_37,1604,0.7143215
1000866_37,1632,0.60825986
1000866_37,1660,0.4904264
1000866_38,1604,0.6956466
1000866_38,1632,0.67834383
1000866_38,1660,0.61517054
1000866_4,1604,0.623938
1000866_4,1632,0.5942521
1000866_4,1660,0.7616007
1000866_41,1604,0.6609826
1000866_41,1632,0.6616661
1000866_41,1660,0.72650284
1000866_44,1604,0.4177788
1000866_44,1632,0.4153448
1000866_44,1660,0.58750975
1000866_45,1604,0.3831928
1000866_45,1632,0.73963267
1000866_45,1660,0.59077466
1000866_46,1604,0.5628442
1000866_46,1632,0.63522494
1000866_46,1660,0.575701
1000866_47,1604,0.46886197
1000866_47,1632,0.45393226
1000866_47,1660,0.6321335
1000866_48,1604,0.7283365
1000866_48,1632,0.728063
1000866_48,1660,0.7401647
1000866_49,1604,0.7439666
1000866_49,1632,0.71310914
1000866_49,1660,0.63335866
1000866_5,1604,0.737618
1000866_5,1632,0.72747475
1000866_5,1660,0.7161179
1000866_50,1604,0.7235932
1000866_50,1632,0.6458085
1000866_50,1660,0.66962266
1000866_51,1604,0.69556993
1000866_51,1632,0.64396816
1000866_51,1660,0.6759221
1000866_6,1604,0.68523103
1000866_6,1632,0.6876384
1000866_6,1660,0.61001194
1000866_7,1604,0.3931331
1000866_7,1632,0.4444679
1000866_7,1660,0.53111225
1000866_8,1604,0.64290464
1000866_8,1632,0.7062903
1000866_8,1660,0.67378813
1001305_1,1604,0.5197826
1001305_1,1632,0.4373121
1001305_1,1660,0.41386884
1001305_11,1604,0.28579232
1001305_11,1632,0.3174811
1001305_11,1660,0.6799712
1001305_18,1604,0.34829682
1001305_18,1632,0.42031845
1001305_18,1660,0.27697176
1001305_23,1604,0.54421246
1001305_23,1632,0.7212338
1001305_23,1660,0.74621445
1001305_25,1604,0.543138
1001305_25,1632,0.732751
1001305_25,1660,0.56927717
1001305_4,1604,0.30940154
1001305_4,1632,0.39600295
1001305_4,1660,0.30672845
1001305_41,1604,0.44772807
1001305_41,1632,0.4537178
1001305_41,1660,0.41205186
1001305_45,1604,0.40020534
1001305_45,1632,0.40976694
1001305_45,1660,0.48297837
1001305_47,1604,0.32247707
1001305_47,1632,0.39224815
1001305_47,1660,0.31122538
1001305_49,1604,0.42165166
1001305_49,1632,0.46840987
1001305_49,1660,0.37173054
1001305_50,1604,0.49100325
1001305_50,1632,0.5308743
1001305_50,1660,0.51369244
1001305_51,1604,0.6876047
1001305_51,1632,0.72004044
1001305_51,1660,0.5299764
1001305_8,1604,0.28891158
1001305_8,1632,0.42472807
1001305_8,1660,0.50153506
1001305_9,1604,0.20644675
1001305_9,1632,0.33142072
1001305_9,1660,0.22806431
1003679_10,1604,0.46877977
1003679_10,1632,0.41798988
1003679_10,1660,0.39137357
1003679_11,1604,0.5031253
1003679_11,1632,0.3650878
1003679_11,1660,0.49244583
1003679_12,1604,0.44508415
1003679_12,1632,0.45752564
1003679_12,1660,0.34406614
1003679_13,1604,0.5195563
1003679_13,1632,0.56355566
1003679_13,1660,0.36506525
1003679_14,1604,0.39691103
1003679_14,1632,0.38065055
1003679_14,1660,0.2912401
1003679_15,1604,0.3761254
1003679_15,1632,0.39500153
1003679_15,1660,0.43135858
1003679_16,1604,0.5542613
1003679_16,1632,0.46643922
1003679_16,1660,0.4396576
1003679_17,1604,0.53186584
1003679_17,1632,0.65439415
1003679_17,1660,0.47544235
1003679_19,1604,0.4900115
1003679_19,1632,0.6690078
1003679_19,1660,0.5146381
1003679_2,1604,0.5401867
1003679_2,1632,0.53146774
1003679_2,1660,0.5281785
1003679_23,1604,0.52058804
1003679_23,1632,0.57343787
1003679_23,1660,0.42501113
1003679_24,1604,0.47515637
1003679_24,1632,0.6789104
1003679_24,1660,0.5597118
1003679_26,1604,0.58694124
1003679_26,1632,0.58943146
1003679_26,1660,0.44938415
1003679_27,1604,0.43695948
1003679_27,1632,0.40206805
1003679_27,1660,0.44605535
1003679_28,1604,0.59768116
1003679_28,1632,0.639239
1003679_28,1660,0.3959593
1003679_3,1604,0.43963414
1003679_3,1632,0.4666973
1003679_3,1660,0.41603515
1003679_31,1604,0.61694485
1003679_31,1632,0.46144345
1003679_31,1660,0.55232555
1003679_32,1604,0.5631024
1003679_32,1632,0.47281873
1003679_32,1660,0.6301227
1003679_33,1604,0.4635513
1003679_33,1632,0.57332176
1003679_33,1660,0.5376728
1003679_34,1604,0.28926054
1003679_34,1632,0.28904998
1003679_34,1660,0.36265123
1003679_35,1604,0.49081984
1003679_35,1632,0.54301196
1003679_35,1660,0.4758848
1003679_37,1604,0.46359864
1003679_37,1632,0.5056058
1003679_37,1660,0.43299985
1003679_38,1604,0.49098063
1003679_38,1632,0.5729047
1003679_38,1660,0.58506906
1003679_39,1604,0.44505668
1003679_39,1632,0.48319682
1003679_39,1660,0.58690244
1003679_4,1604,0.46400878
1003679_4,1632,0.40206578
1003679_4,1660,0.49353382
1003679_40,1604,0.36607504
1003679_40,1632,0.44164225
1003679_40,1660,0.28613913
1003679_41,1604,0.5148278
1003679_41,1632,0.53519773
1003679_41,1660,0.55461806
1003679_43,1604,0.37068608
1003679_43,1632,0.3394026
1003679_43,1660,0.38422734
1003679_44,1604,0.41017112
1003679_44,1632,0.46407214
1003679_44,1660,0.4535484
1003679_45,1604,0.38789752
1003679_45,1632,0.3911898
1003679_45,1660,0.46135044
1003679_46,1604,0.41590083
1003679_46,1632,0.45150533
1003679_46,1660,0.5302106
1003679_47,1604,0.47043622
1003679_47,1632,0.4570743
1003679_47,1660,0.48691806
1003679_48,1604,0.44654182
1003679_48,1632,0.43681884
1003679_48,1660,0.46864256
1003679_49,1604,0.35737646
1003679_49,1632,0.36474043
1003679_49,1660,0.3937595
1003679_5,1604,0.459134
1003679_5,1632,0.398211
1003679_5,1660,0.46089104
1003679_50,1604,0.41403356
1003679_50,1632,0.35772353
1003679_50,1660,0.48078552
1003679_54,1604,0.5887319
1003679_54,1632,0.54670495
1003679_54,1660,0.42378882
1003679_6,1604,0.45307472
1003679_6,1632,0.44246802
1003679_6,1660,0.4305246
1003679_7,1604,0.5031273
1003679_7,1632,0.49086002
1003679_7,1660,0.3392267
1003679_8,1604,0.36262664
1003679_8,1632,0.31987464
1003679_8,1660,0.38455835
1003679_9,1604,0.41851795
1003679_9,1632,0.49207747
1003679_9,1660,0.40452197
1004545_1,1604,0.7584553
1004545_1,1632,0.7468126
1004545_1,1660,0.7132181
1004545_2,1604,0.7447031
1004545_2,1632,0.7549495
1004545_2,1660,0.75587946
1004545_23,1604,0.7636757
1004545_23,1632,0.7648573
1004545_23,1660,0.76265764
1004545_24,1604,0.6784938
1004545_24,1632,0.7135846
1004545_24,1660,0.71252656
1004545_25,1604,0.7055565
1004545_25,1632,0.738414
1004545_25,1660,0.7055774
1004545_26,1604,0.7304232
1004545_26,1632,0.73951423
1004545_26,1660,0.7295406
1004545_27,1604,0.76504755
1004545_27,1632,0.7757996
1004545_27,1660,0.7523697
1004545_3,1604,0.6357854
1004545_3,1632,0.6669304
1004545_3,1660,0.6664714
1004545_37,1604,0.7162856
1004545_37,1632,0.7217519
1004545_37,1660,0.6730557
1004545_38,1604,0.6083905
1004545_38,1632,0.7140052
1004545_38,1660,0.6745268
1004545_41,1604,0.7677009
