series_id,origin,g
FOODS_1_001_CA_2_evaluation,1857,0.55283296
FOODS_1_001_CA_2_evaluation,1885,0.47187975
FOODS_1_001_CA_2_evaluation,1913,0.5520543
FOODS_1_001_CA_3_evaluation,1857,0.46681714
FOODS_1_001_CA_3_evaluation,1885,0.3593625
FOODS_1_001_CA_3_evaluation,1913,0.3387926
FOODS_1_001_CA_4_evaluation,1857,0.66685945
FOODS_1_001_CA_4_evaluation,1885,0.63725036
FOODS_1_001_CA_4_evaluation,1913,0.59806925
FOODS_1_001_TX_1_evaluation,1857,0.26545846
FOODS_1_001_TX_1_evaluation,1885,0.39839938
FOODS_1_001_TX_1_evaluation,1913,0.5789446
FOODS_1_001_TX_2_evaluation,1857,0.48505247
FOODS_1_001_TX_2_evaluation,1885,0.6096669
FOODS_1_001_TX_2_evaluation,1913,0.50066924
FOODS_1_001_WI_2_evaluation,1857,0.5719959
FOODS_1_001_WI_2_evaluation,1885,0.53967696
FOODS_1_001_WI_2_evaluation,1913,0.57228166
FOODS_1_001_WI_3_evaluation,1857,0.6146527
FOODS_1_001_WI_3_evaluation,1885,0.709039
FOODS_1_001_WI_3_evaluation,1913,0.70099837
FOODS_1_002_CA_3_evaluation,1857,0.6914094
FOODS_1_002_CA_3_evaluation,1885,0.7626492
FOODS_1_002_CA_3_evaluation,1913,0.76882386
FOODS_1_002_CA_4_evaluation,1857,0.6704152
FOODS_1_002_CA_4_evaluation,1885,0.6987192
FOODS_1_002_CA_4_evaluation,1913,0.6994091
FOODS_1_002_TX_1_evaluation,1857,0.7225052
FOODS_1_002_TX_1_evaluation,1885,0.711309
FOODS_1_002_TX_1_evaluation,1913,0.68008536
FOODS_1_002_TX_2_evaluation,1857,0.5714549
FOODS_1_002_TX_2_evaluation,1885,0.62279254
FOODS_1_002_TX_2_evaluation,1913,0.60651296
FOODS_1_002_WI_2_evaluation,1857,0.6868444
FOODS_1_002_WI_2_evaluation,1885,0.69858694
FOODS_1_002_WI_2_evaluation,1913,0.6438252
FOODS_1_002_WI_3_evaluation,1857,0.56887203
FOODS_1_002_WI_3_evaluation,1885,0.6652024
FOODS_1_002_WI_3_evaluation,1913,0.59500057
FOODS_1_003_CA_1_evaluation,1857,0.3993132
FOODS_1_003_CA_1_evaluation,1885,0.6143538
FOODS_1_003_CA_1_evaluation,1913,0.4754671
FOODS_1_003_CA_2_evaluation,1857,0.398857
FOODS_1_003_CA_2_evaluation,1885,0.42045337
FOODS_1_003_CA_2_evaluation,1913,0.49540618
FOODS_1_003_CA_3_evaluation,1857,0.40667897
FOODS_1_003_CA_3_evaluation,1885,0.44227728
FOODS_1_003_CA_3_evaluation,1913,0.71276385
FOODS_1_003_CA_4_evaluation,1857,0.57262397
FOODS_1_003_CA_4_evaluation,1885,0.62591624
FOODS_1_003_CA_4_evaluation,1913,0.5835205
FOODS_1_003_TX_1_evaluation,1857,0.6358456
FOODS_1_003_TX_1_evaluation,1885,0.6410069
FOODS_1_003_TX_1_evaluation,1913,0.6080272
FOODS_1_003_TX_2_evaluation,1857,0.61152273
FOODS_1_003_TX_2_evaluation,1885,0.65345985
FOODS_1_003_TX_2_evaluation,1913,0.6335708
FOODS_1_003_TX_3_evaluation,1857,0.8056622
FOODS_1_003_TX_3_evaluation,1885,0.6765287
FOODS_1_003_TX_3_evaluation,1913,0.72011805
FOODS_1_003_WI_1_evaluation,1857,0.6353181
FOODS_1_003_WI_1_evaluation,1885,0.5477912
FOODS_1_003_WI_1_evaluation,1913,0.47993845
FOODS_1_003_WI_2_evaluation,1857,0.7176626
FOODS_1_003_WI_2_evaluation,1885,0.6239177
FOODS_1_003_WI_2_evaluation,1913,0.59541786
FOODS_1_003_WI_3_evaluation,1857,0.66320926
FOODS_1_003_WI_3_evaluation,1885,0.6281601
FOODS_1_003_WI_3_evaluation,1913,0.6273629
FOODS_1_004_CA_1_evaluation,1857,0.7217742
FOODS_1_004_CA_1_evaluation,1885,0.60529613
FOODS_1_004_CA_1_evaluation,1913,0.6027734
FOODS_1_004_CA_2_evaluation,1857,0.57085925
FOODS_1_004_CA_2_evaluation,1885,0.5360373
FOODS_1_004_CA_2_evaluation,1913,0.54104596
FOODS_1_004_CA_3_evaluation,1857,0.5742646
FOODS_1_004_CA_3_evaluation,1885,0.5976758
FOODS_1_004_CA_3_evaluation,1913,0.569276
FOODS_1_004_CA_4_evaluation,1857,0.6114163
FOODS_1_004_CA_4_evaluation,1885,0.63767284
FOODS_1_004_CA_4_evaluation,1913,0.51870656
FOODS_1_004_TX_1_evaluation,1857,0.49361745
FOODS_1_004_TX_1_evaluation,1885,0.62431335
FOODS_1_004_TX_1_evaluation,1913,0.5636285
FOODS_1_004_TX_2_evaluation,1857,0.66650957
FOODS_1_004_TX_2_evaluation,1885,0.6774087
FOODS_1_004_TX_2_evaluation,1913,0.6091915
FOODS_1_004_TX_3_evaluation,1857,0.6503023
FOODS_1_004_TX_3_evaluation,1885,0.61563736
FOODS_1_004_TX_3_evaluation,1913,0.6183783
FOODS_1_004_WI_1_evaluation,1857,0.502271
FOODS_1_004_WI_1_evaluation,1885,0.6246386
FOODS_1_004_WI_1_evaluation,1913,0.5913571
