cell,d,interval,magnitude,model,n_series,rmse_mean_truth,realized_y_mse,realized_y_mae,occurrence_brier,rmse_p_truth,positive_mean_rmse,p_true_x_mu_hat,p_hat_x_mu_true,p_hat_x_mu_hat,n_parameters,train_seconds
C01,4,I1_INTERVAL_PREDICTABLE,S1_MAGNITUDE_PREDICTABLE,M0_PARAMETER_MATCHED_POINT,80,0.45440577926600695,2.6477791793780256,0.7165741115040012,,,,,,,5856,62.945688009262085
C01,4,I1_INTERVAL_PREDICTABLE,S1_MAGNITUDE_PREDICTABLE,M1_HURDLE_MEAN,80,0.415926330003938,2.6116815303067633,0.6160785892958239,9.825749992882333e-05,0.008600436467718547,,0.41028189726429315,0.06893965120108261,0.41592632708226923,5856,55.39076209068298
C01,4,I1_INTERVAL_PREDICTABLE,S1_MAGNITUDE_PREDICTABLE,M2_HURDLE_ZTNB,80,0.409703187844234,2.616642930082011,0.6118945957905889,1.406055804792894e-05,0.003149742998463965,,0.40813783323373415,0.0252788482084896,0.4097031820483942,5857,71.32469058036804
C02,4,I1_INTERVAL_PREDICTABLE,S0_MAGNITUDE_INDEPENDENT_CONTROL,M0_PARAMETER_MATCHED_POINT,80,0.7846326593496075,9.256705671607584,1.5424059036429283,,,,,,,5856,59.17578458786011
C02,4,I1_INTERVAL_PREDICTABLE,S0_MAGNITUDE_INDEPENDENT_CONTROL,M1_HURDLE_MEAN,80,0.5664157133074689,9.019899909635123,1.3083895574379238,2.502138396915436e-05,0.0037492226320640183,,0.5543530659088539,0.03749222632042283,0.5664157133670924,5856,57.1412467956543
C02,4,I1_INTERVAL_PREDICTABLE,S0_MAGNITUDE_INDEPENDENT_CONTROL,M2_HURDLE_ZTNB,80,0.5460545078845505,9.076005330694477,1.3150922499040862,1.6614927528820307e-05,0.003084252998028106,,0.5371228938488493,0.03084252997996977,0.5460545051775398,5857,53.09877371788025
C03,4,I0_INTERVAL_INDEPENDENT_CONTROL,S1_MAGNITUDE_PREDICTABLE,M0_PARAMETER_MATCHED_POINT,80,1.1880051598440386,23.95361750492963,3.4656717839628826,,,,,,,5856,36.16077446937561
C03,4,I0_INTERVAL_INDEPENDENT_CONTROL,S1_MAGNITUDE_PREDICTABLE,M1_HURDLE_MEAN,80,0.9651741354415705,23.527797004880814,3.3291082475460514,0.16778135074219963,0.08347531982489578,,0.2899738330959639,0.9029826916546971,0.9651741338300962,5856,28.673372983932495
C03,4,I0_INTERVAL_INDEPENDENT_CONTROL,S1_MAGNITUDE_PREDICTABLE,M2_HURDLE_ZTNB,80,0.9438590792425083,23.516444539862142,3.3292431941409264,0.16749101035756533,0.08132834428079079,,0.28341617755923165,0.8785497637023294,0.9438590792117519,5857,22.19572401046753
C04,4,I0_INTERVAL_INDEPENDENT_CONTROL,S0_MAGNITUDE_INDEPENDENT_CONTROL,M0_PARAMETER_MATCHED_POINT,80,1.1423984156393707,24.908057362200587,3.475478557887352,,,,,,,5856,15.417256832122803
C04,4,I0_INTERVAL_INDEPENDENT_CONTROL,S0_MAGNITUDE_INDEPENDENT_CONTROL,M1_HURDLE_MEAN,80,1.044710335467197,24.68972909792375,3.36950445281321,0.1704597472458566,0.09713404288144233,,0.3581190080687799,0.9713404288144233,1.0447103340475519,5856,17.611193895339966
C04,4,I0_INTERVAL_INDEPENDENT_CONTROL,S0_MAGNITUDE_INDEPENDENT_CONTROL,M2_HURDLE_ZTNB,80,0.9960498883622838,24.63168019263012,3.375302477171276,0.16934664907848124,0.09164692544483385,,0.3541132895065952,0.9164692544483373,0.9960498886400757,5857,21.224955081939697
C05,8,I1_INTERVAL_PREDICTABLE,S1_MAGNITUDE_PREDICTABLE,M0_PARAMETER_MATCHED_POINT,80,0.4191478369667091,1.2623615142604439,0.3929838469920005,,,,,,,5856,16.38954257965088
C05,8,I1_INTERVAL_PREDICTABLE,S1_MAGNITUDE_PREDICTABLE,M1_HURDLE_MEAN,80,0.4041734833717392,1.2615641668183772,0.3103979346169107,0.00018052975992261674,0.011744981070616984,,0.39334829655063636,0.09006164229572175,0.4041734748167645,5856,14.522942066192627
C05,8,I1_INTERVAL_PREDICTABLE,S1_MAGNITUDE_PREDICTABLE,M2_HURDLE_ZTNB,80,0.384438646806611,1.2318245062481803,0.3077941633885404,0.00010812628476978914,0.008696828770141028,,0.37768323995502395,0.06523690919195056,0.3844386432225878,5857,19.489497423171997
C06,8,I1_INTERVAL_PREDICTABLE,S0_MAGNITUDE_INDEPENDENT_CONTROL,M0_PARAMETER_MATCHED_POINT,80,0.7959852582007176,4.902331481616796,0.8784951845333383,,,,,,,5856,12.849583864212036
C06,8,I1_INTERVAL_PREDICTABLE,S0_MAGNITUDE_INDEPENDENT_CONTROL,M1_HURDLE_MEAN,80,0.5821134220619291,4.553554736500769,0.6505378399364258,9.282202587961098e-05,0.006401662115402449,,0.5597862377251595,0.06401662115157827,0.5821134212738465,5856,15.762938022613525
C06,8,I1_INTERVAL_PREDICTABLE,S0_MAGNITUDE_INDEPENDENT_CONTROL,M2_HURDLE_ZTNB,80,0.557031406781005,4.546959444424305,0.6539987910304834,6.312353297577091e-05,0.005563284380706616,,0.5381393145815407,0.05563284380501961,0.5570314089256563,5857,19.4285306930542
C07,8,I0_INTERVAL_INDEPENDENT_CONTROL,S1_MAGNITUDE_PREDICTABLE,M0_PARAMETER_MATCHED_POINT,80,1.0755264638387811,11.609503733787829,1.8229781430031065,,,,,,,5856,12.917853116989136
C07,8,I0_INTERVAL_INDEPENDENT_CONTROL,S1_MAGNITUDE_PREDICTABLE,M1_HURDLE_MEAN,80,0.9561380035147042,11.325531437034439,1.5594904626575015,0.07848408775805504,0.0772941611577952,,0.29742921856212384,0.8559602674596125,0.9561380039617908,5856,17.266431093215942
C07,8,I0_INTERVAL_INDEPENDENT_CONTROL,S1_MAGNITUDE_PREDICTABLE,M2_HURDLE_ZTNB,80,0.9857683538936375,11.36174852942289,1.5615099445829028,0.07861299536902115,0.07891165097784446,,0.28334759165121126,0.8762019394310222,0.9857683542478174,5857,21.03956627845764
C08,8,I0_INTERVAL_INDEPENDENT_CONTROL,S0_MAGNITUDE_INDEPENDENT_CONTROL,M0_PARAMETER_MATCHED_POINT,80,0.9839986495342357,12.231974371414383,1.812665115875514,,,,,,,5856,14.218613624572754
C08,8,I0_INTERVAL_INDEPENDENT_CONTROL,S0_MAGNITUDE_INDEPENDENT_CONTROL,M1_HURDLE_MEAN,80,1.0136275351251265,12.178095522289176,1.6019141977592177,0.07891545381616047,0.08899983785706148,,0.3660672939967386,0.889998378570614,1.0136275349302715,5856,17.953693866729736
C08,8,I0_INTERVAL_INDEPENDENT_CONTROL,S0_MAGNITUDE_INDEPENDENT_CONTROL,M2_HURDLE_ZTNB,80,0.9806833185940533,12.16062054710339,1.6231214575020938,0.07808137492371171,0.08299665166478844,,0.35873775326258645,0.8299665166478837,0.9806833164511787,5857,21.5270574092865
